bad_loan,loan_request,amt_due_on_mort,value_of_property,years_at_job,num_derog_reports,num_delinq_lines,oldest_cl_age,num_recent_cl,num_of_cl,debt_to_inc_ratio,reason_for_loan_DebtCon,reason_for_loan_HomeImp,occupation_Mgr,occupation_Office,occupation_Other,occupation_ProfExe,occupation_Sales,occupation_Self
1.0,-1.5631112010507155,-1.092272708962006,-1.119977228740508,0.20489611622072426,-0.2878021319597589,-0.3907769734460811,-1.0108013484067593,-0.10598248009304298,-1.2457994829720989,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.5455271786017881,-0.08395761650545369,-0.611918959556901,-0.2633027270976916,-0.2878021319597589,1.4448553835589015,-0.6890824395369354,-0.693179769798292,-0.749574087970235,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.5279431561528607,-1.3742805957939246,-1.5061015133200495,-0.6646160213706195,-0.2878021319597589,-0.3907769734460811,-0.3654113527007319,-0.10598248009304298,-1.146554403971726,0.10042619969904558,0,1,0,0,1,0,0,0
0.0,-1.5103591337039333,0.5491227100257153,0.14216922891646994,-0.7983871194615955,-0.2878021319597589,-0.3907769734460811,-1.022904851055704,-0.693179769798292,-0.749574087970235,0.10042619969904558,0,1,0,1,0,0,0,0
1.0,-1.5103591337039333,-0.985310494280126,-1.0975794258947966,0.004239469084260327,-0.2878021319597589,-0.3907769734460811,-0.9276463585384117,-0.10598248009304298,-1.3450445619724716,0.3628162211364315,0,1,0,0,1,0,0,0
1.0,-1.5015671224794696,-0.5723149635726372,-0.80844886977761,-0.5308449232796435,3.5636605852490373,1.4448553835589015,-1.213046973188353,-0.10598248009304298,-0.4518388509691166,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.5015671224794696,-1.0319923823430794,-1.0506391657223946,0.2717816652662122,-0.2878021319597589,-0.3907769734460811,-1.076401982750889,-0.693179769798292,-1.3450445619724716,0.33259387113551403,0,1,0,0,1,0,0,0
1.0,-1.4839831000305421,-0.9362100919773518,-0.9865416697021582,-0.7983871194615955,-0.2878021319597589,1.4448553835589015,0.42483023901663075,-0.10598248009304298,-0.9480642459709805,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.4839831000305421,-0.19225457725364967,-0.7182869035732136,0.9406371557210921,-0.2878021319597589,-0.3907769734460811,-0.7597512774993624,-0.693179769798292,-0.8488191669706077,0.10042619969904558,0,1,0,0,0,0,1,0
1.0,-1.4839831000305421,-1.2116697374240957,-1.279529144764977,0.2717816652662122,-0.2878021319597589,0.5270392050564102,-0.6808832925864885,-0.10598248009304298,-1.2457994829720989,0.10042619969904558,0,1,0,1,0,0,0,0
1.0,-1.4839831000305421,-0.6555711754698599,-0.8436800083078911,-0.7983871194615955,-0.2878021319597589,-0.3907769734460811,-1.108019805104915,0.48121480961220603,0.3421217810338656,0.10042619969904558,0,1,0,0,1,0,0,0
0.0,-1.4839831000305421,-0.20983443783649702,-0.2833025471487806,-0.8652726685070834,-0.2878021319597589,-0.3907769734460811,-0.3927418426136418,-0.693179769798292,0.24287670203349282,0.10042619969904558,1,0,1,0,0,0,0,0
1.0,-1.4751910888060784,-0.062350701551584196,-0.34470192946713996,-0.12953162900671564,-0.2878021319597589,0.5270392050564102,-0.6754171945804804,-0.693179769798292,-0.5510839299694894,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.4663990775816147,-1.1283222608385781,-1.195005544373478,-0.2633027270976916,-0.2878021319597589,0.5270392050564102,1.4079470020102025,-0.693179769798292,-1.3450445619724716,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.4663990775816147,0.3929916445248399,-0.02040941722228435,-0.2633027270976916,2.2798396795127718,5.116120097568866,-0.676588501287687,-0.10598248009304298,0.04438654403274728,0.10042619969904558,0,1,1,0,0,0,0,0
1.0,-1.457607066357151,-1.0390653956859512,-1.1005196780058168,-0.5977304723251314,-0.2878021319597589,-0.3907769734460811,-1.476590982309859,-0.10598248009304298,-0.5510839299694894,0.10042619969904558,0,1,0,0,1,0,0,0
0.0,-1.457607066357151,0.6533926164028891,0.2970167415633068,-0.9321582175525713,-0.2878021319597589,-0.3907769734460811,-1.0503227968884472,-0.693179769798292,-0.8488191669706077,-0.36725640166398915,0,1,0,1,0,0,0,0
1.0,-1.457607066357151,-0.8238176283419123,-0.99588129405481,-0.7983871194615955,-0.2878021319597589,0.5270392050564102,-0.6840067770609525,-0.10598248009304298,-0.749574087970235,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.4488150551326873,-0.5414903151009607,-0.5255274342948715,-0.5308449232796435,0.9960187737765066,-0.3907769734460811,-0.07132121950636328,-0.10598248009304298,-2.139005193975454,0.10042619969904558,0,1,0,0,0,1,0,0
1.0,-1.4488150551326873,-1.043446100724117,-1.0892775375813284,0.4055527633571882,-0.2878021319597589,-0.3907769734460811,-1.3290063372018157,0.48121480961220603,0.04438654403274728,0.10042619969904558,0,1,1,0,0,0,0,0
1.0,-1.4488150551326873,-0.886858711781766,-0.973898585624772,0.4055527633571882,-0.2878021319597589,-0.3907769734460811,-1.2904576960474594,-0.10598248009304298,-0.054858534967625494,0.5147723077728301,0,1,1,0,0,0,0,0
0.0,-1.4488150551326873,0.5639304057015985,0.23201987430911125,-0.6646160213706195,-0.2878021319597589,-0.3907769734460811,-1.0173008334184563,-0.693179769798292,-0.8488191669706077,-0.6191992497723516,0,1,0,1,0,0,0,0
1.0,-1.4400230439082236,-1.3400563376832548,-1.4455669110343432,1.208179351903044,-0.2878021319597589,-0.3907769734460811,-0.5223664514664289,-0.10598248009304298,-0.25334869296837104,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.4400230439082236,-1.109247940984898,-1.166242960487441,0.13801056717523627,0.9960187737765066,1.4448553835589015,1.128004698987803,-0.693179769798292,-1.2457994829720989,0.10042619969904558,0,1,0,0,1,0,0,0
0.0,-1.4400230439082236,-1.5173608108685979,-1.0250070855545612,-0.2633027270976916,-0.2878021319597589,-0.3907769734460811,0.3201935065452095,-0.693179769798292,-0.9480642459709805,0.10042619969904558,0,1,0,0,0,0,0,1
0.0,-1.4400230439082236,-0.05304170334548202,-0.4355038328956995,-0.12953162900671564,-0.2878021319597589,-0.3907769734460811,0.8792972414128278,-0.693179769798292,-0.9480642459709805,0.10042619969904558,0,1,0,0,0,1,0,0
1.0,-1.4136470102348324,-0.5233514583023057,-0.7035856430181134,2.278348136630852,2.2798396795127718,13.376465704091288,-0.41031144322174223,1.068412099317455,2.327023361041321,0.10042619969904558,0,1,0,0,0,0,0,1
1.0,-1.4136470102348324,-1.591034230494833,-0.7425007444874961,0.9406371557210921,4.847481490985303,-0.3907769734460811,-0.7968426565999512,0.48121480961220603,-1.2457994829720989,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.4048549990103687,0.11105220620914254,0.1594648295695289,-0.3970738251886675,0.9960187737765066,-0.3907769734460811,-0.17956402190202364,0.48121480961220603,0.44136686003423836,0.10042619969904558,1,0,0,0,0,1,0,0
0.0,-1.4048549990103687,0.6894193521073876,0.1509035072462647,-1.0659293156435474,-0.2878021319597589,-0.3907769734460811,-0.9904714112381152,-0.693179769798292,-0.8488191669706077,-0.57039976023142,0,1,0,1,0,0,0,0
0.0,-1.4048549990103687,0.6990934090666702,0.29267554579938904,-0.9321582175525713,-0.2878021319597589,-0.3907769734460811,-0.926776128958191,-0.693179769798292,-0.8488191669706077,-0.5882749185107566,0,1,0,1,0,0,0,0
1.0,-1.4048549990103687,-1.5054735852181587,-0.6189063822207368,0.9406371557210921,3.5636605852490373,-0.3907769734460811,-0.684733033017513,0.48121480961220603,-1.3450445619724716,0.2435933751574354,0,1,0,0,1,0,0,0
1.0,-1.4048549990103687,-0.26856326475440634,-0.5684205239144576,-0.9321582175525713,-0.2878021319597589,-0.3907769734460811,1.1963503583252253,1.068412099317455,1.533062729038339,1.9607226218897431,1,0,1,0,0,0,0,0
0.0,-1.396062987785905,0.7035881949652049,0.3104381276700806,-0.9321582175525713,-0.2878021319597589,-0.3907769734460811,-1.1101550359962382,-0.693179769798292,-0.749574087970235,-0.30498276964836174,0,1,0,1,0,0,0,0
1.0,-1.396062987785905,-1.5225857142734935,-1.4438373509690372,-0.7983871194615955,-0.2878021319597589,-0.3907769734460811,-1.5211006371837132,2.2428066787279533,-1.2457994829720989,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.396062987785905,-0.19225457725364967,-1.6427367584792154,-0.9321582175525713,-0.2878021319597589,0.5270392050564102,-1.2052382618030706,-0.693179769798292,-1.8412699569743354,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.396062987785905,-0.19225457725364967,-1.2241832226751883,-1.0659293156435474,-0.2878021319597589,0.5270392050564102,-1.8432099816655543,-0.10598248009304298,-1.9405150359747083,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.396062987785905,1.05167171612279,1.5517606821407757,-0.12953162900671564,-0.2878021319597589,-0.3907769734460811,-0.5930349951966111,-0.693179769798292,0.5406119390346111,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.396062987785905,-1.2259754773143556,-1.28039392479763,-0.9321582175525713,-0.2878021319597589,-0.3907769734460811,0.07499996920898501,-0.693179769798292,-0.9480642459709805,0.10042619969904558,1,0,0,0,1,0,0,0
1.0,-1.396062987785905,-0.19225457725364967,-1.5441518347567793,-0.7983871194615955,-0.2878021319597589,-0.3907769734460811,-2.007192920674491,7.5275822860751935,-1.9405150359747083,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.396062987785905,-0.19225457725364967,-1.5510700750180029,-1.0659293156435474,-0.2878021319597589,-0.3907769734460811,-0.8956228555353388,-0.693179769798292,-0.25334869296837104,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.396062987785905,-0.6099388313223002,-0.36459187021815775,0.13801056717523627,-0.2878021319597589,0.5270392050564102,0.9546513063212121,2.2428066787279533,0.44136686003423836,0.10042619969904558,0,1,0,0,0,1,0,0
1.0,-1.396062987785905,-0.8941827030174494,-1.0010699742507276,-0.06264607996122765,-0.2878021319597589,1.4448553835589015,-1.3856194947129015,-0.693179769798292,-1.146554403971726,0.10042619969904558,0,1,1,0,0,0,0,0
0.0,-1.396062987785905,-0.358960938510722,-0.5583025975324182,0.13801056717523627,-0.2878021319597589,1.4448553835589015,0.36626490365629605,-0.693179769798292,0.3421217810338656,0.10042619969904558,0,1,1,0,0,0,0,0
0.0,-1.396062987785905,-0.6099388313223002,-0.8194661673936086,1.6094926461759718,-0.2878021319597589,-0.3907769734460811,0.24835336187557586,-0.693179769798292,-0.15410361396799827,0.10042619969904558,0,1,0,1,0,0,0,0
1.0,-1.3872709765614413,-0.7790294825610825,-1.1705668606507056,-0.9990437665980594,-0.2878021319597589,-0.3907769734460811,-0.322073004534084,-0.10598248009304298,-0.749574087970235,0.10042619969904558,0,1,0,0,1,0,0,0
0.0,-1.3784789653369778,-0.13426727592813822,-0.5052742859301393,0.13801056717523627,-0.2878021319597589,0.5270392050564102,0.3017641909429375,-0.693179769798292,0.3421217810338656,0.7595005193919143,0,1,1,0,0,0,0,0
1.0,-1.3784789653369778,-0.5733645074880311,-0.7399064043895374,2.5458903328128035,-0.2878021319597589,3.280487740563884,-0.6867398261225219,-0.10598248009304298,0.3421217810338656,0.10042619969904558,0,1,0,0,0,1,0,0
1.0,-1.3784789653369778,-1.0616990383831408,-1.0886894871591244,-0.2633027270976916,-0.2878021319597589,-0.3907769734460811,1.3759105613388956,-0.693179769798292,-1.4442896409728443,0.15667230725346715,0,1,0,0,1,0,0,0
1.0,-1.3784789653369778,-0.4502256268058414,-0.6733183418752603,-1.0659293156435474,-0.2878021319597589,-0.3907769734460811,-0.6886920038897794,1.068412099317455,-0.054858534967625494,0.10042619969904558,0,1,0,0,1,0,0,0
0.0,-1.3784789653369778,0.02581098734150108,-0.2856201576362905,-0.2633027270976916,-0.2878021319597589,-0.3907769734460811,0.8195364222864124,-0.693179769798292,-0.9480642459709805,1.1287341535331699,0,1,0,0,0,1,0,0
1.0,-1.3784789653369778,-1.153899189733285,-0.2228198316650334,1.475721548084996,-0.2878021319597589,1.4448553835589015,-0.736257818519789,-0.693179769798292,-1.2457994829720989,-4.4719669482174575,0,1,1,0,0,0,0,0
1.0,-1.369686954112514,1.2048823115982215,0.5317872248279293,0.004239469084260327,0.9960187737765066,-0.3907769734460811,-0.48800812142740935,-0.693179769798292,1.433817650037966,0.10042619969904558,0,1,0,0,0,0,1,0
1.0,-1.369686954112514,1.295622227935644,1.047023168282556,0.004239469084260327,-0.2878021319597589,5.116120097568866,0.1361712546715677,-0.693179769798292,1.1360824130368479,0.18006328762465967,1,0,0,0,1,0,0,0
1.0,-1.3608949428880504,-0.8381005520600985,-0.895566810267068,-0.9321582175525713,-0.2878021319597589,0.5270392050564102,0.030879761399425876,-0.693179769798292,-1.543534719973217,0.10042619969904558,0,1,0,1,0,0,0,0
1.0,-1.3521029316635866,-1.1529637266782602,-1.1261863493749562,0.2717816652662122,-0.2878021319597589,-0.3907769734460811,-0.21431278747106827,-0.693179769798292,-0.749574087970235,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.3521029316635866,-1.2396651805586236,-1.4404820044423439,-0.5308449232796435,-0.2878021319597589,-0.3907769734460811,-0.99245087666833,-0.693179769798292,-1.2457994829720989,0.10042619969904558,0,1,0,0,1,0,0,0
1.0,-1.343310920439123,-0.7263013088985774,-0.8870919659470691,-0.7983871194615955,-0.2878021319597589,-0.3907769734460811,-1.2723931796907297,0.48121480961220603,-1.7420248779739627,0.10042619969904558,0,1,1,0,0,0,0,0
0.0,-1.343310920439123,0.22741468378541968,0.13871010878585813,-0.3970738251886675,-0.2878021319597589,-0.3907769734460811,0.1413740158726106,-0.10598248009304298,0.639857018034984,0.10042619969904558,0,1,0,0,0,1,0,0
0.0,-1.343310920439123,-0.28305153402125655,-0.4721013238775723,0.004239469084260327,-0.2878021319597589,1.4448553835589015,0.25589784770350293,-0.693179769798292,0.3421217810338656,0.9445867386085154,0,1,1,0,0,0,0,0
